year,avg_poverty,regions_count
2015,26.39527027027027,148
2016,25.119018404907976,163
2017,24.74285714285714,168
2018,24.00631578947369,190
2019,23.200000000000006,214
2020,22.95774647887324,213
2021,22.097569444444446,288
2022,22.015243902439025,328
2023,21.461370716510906,321
2024,21.139755351681956,327
